Position,Artist,Album,Votes,%,Days Left,Time
45,Paul Kim,"마음, 둘",0.6609999999999999,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
46,SUNMI,보라빛 밤 (pporappippam),0.257,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.213,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
48,Jessi,NUNA,0.19899999999999998,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
50,PARK JIN YOUNG,When We Disco,0.043,0.0,-12.416666666666664,2021-01-12 05:20:26.017970
1,KANG DANIEL,MAGENTA,1388.648,8.96,-11.958333333333336,2021-01-12 16:22:01.005498
2,Stray Kids,GO生,1168.909,7.54,-11.958333333333336,2021-01-12 16:22:01.005498
3,NCT 127,NCT #127 Neo Zone,1067.146,6.89,-11.958333333333336,2021-01-12 16:22:01.005498
4,HA SUNG WOON,Twilight Zone,966.112,6.24,-11.958333333333336,2021-01-12 16:22:01.005498
5,ATEEZ,ZERO : FEVER Part.1,929.691,6.0,-11.958333333333336,2021-01-12 16:22:01.005498
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,912.811,5.89,-11.958333333333336,2021-01-12 16:22:01.005498
7,NCT DREAM,RELOAD,851.429,5.5,-11.958333333333336,2021-01-12 16:22:01.005498
8,DREAMCATCHER,Dystopia : The Tree of Language,738.7130000000003,4.77,-11.958333333333336,2021-01-12 16:22:01.005498
9,MONSTA X,FANTASIA X,660.015,4.26,-11.958333333333336,2021-01-12 16:22:01.005498
10,SUPER JUNIOR-D&E,BAD BLOOD,642.736,4.15,-11.958333333333336,2021-01-12 16:22:01.005498
11,GOT7,DYE,640.966,4.14,-11.958333333333336,2021-01-12 16:22:01.005498
12,BLACKPINK,How You Like That,606.52,3.91,-11.958333333333336,2021-01-12 16:22:01.005498
13,TWICE,MORE & MORE,598.422,3.86,-11.958333333333336,2021-01-12 16:22:01.005498
14,SEVENTEEN,헹가래,596.693,3.85,-11.958333333333336,2021-01-12 16:22:01.005498
15,BTS,MAP OF THE SOUL : 7,514.2919999999998,3.32,-11.958333333333336,2021-01-12 16:22:01.005498
16,BAEKHYUN,Delight,388.607,2.51,-11.958333333333336,2021-01-12 16:22:01.005498
17,NU'EST,The Nocturne,360.877,2.33,-11.958333333333336,2021-01-12 16:22:01.005498
18,GFRIEND,回:LABYRINTH,359.20300000000015,2.32,-11.958333333333336,2021-01-12 16:22:01.005498
19,VICTON,Mayday,318.171,2.05,-11.958333333333336,2021-01-12 16:22:01.005498
20,SF9,9loryUS,317.997,2.05,-11.958333333333336,2021-01-12 16:22:01.005498
21,AB6IX,VIVID,277.524,1.79,-11.958333333333336,2021-01-12 16:22:01.005498
22,ASTRO,GATEWAY,214.67,1.39,-11.958333333333336,2021-01-12 16:22:01.005498
23,IZ*ONE,BLOOM*IZ,190.111,1.23,-11.958333333333336,2021-01-12 16:22:01.005498
24,MAMAMOO,딩가딩가 (Dingga),131.453,0.85,-11.958333333333336,2021-01-12 16:22:01.005498
25,PARK JI HOON,The W,128.09799999999998,0.83,-11.958333333333336,2021-01-12 16:22:01.005498
26,TAEMIN,Never Gonna Dance Again : Act 1,92.896,0.6,-11.958333333333336,2021-01-12 16:22:01.005498
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),69.288,0.45,-11.958333333333336,2021-01-12 16:22:01.005498
28,Hwa Sa,María,56.94300000000001,0.37,-11.958333333333336,2021-01-12 16:22:01.005498
29,THE BOYZ,CHASE,50.307,0.32,-11.958333333333336,2021-01-12 16:22:01.005498
30,NCT,NCT RESONANCE Part 1,50.02,0.32,-11.958333333333336,2021-01-12 16:22:01.005498
31,CIX,"Hello, Strange Time",35.231,0.23,-11.958333333333336,2021-01-12 16:22:01.005498
32,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),34.011,0.22,-11.958333333333336,2021-01-12 16:22:01.005498
33,LOONA,[#],30.398000000000003,0.2,-11.958333333333336,2021-01-12 16:22:01.005498
34,OH MY GIRL,NONSTOP,30.292,0.2,-11.958333333333336,2021-01-12 16:22:01.005498
35,ITZY,IT'z ME,16.783,0.11,-11.958333333333336,2021-01-12 16:22:01.005498
36,EXO,EXO PLANET #5 –EXplOration– Live Album,13.014,0.08,-11.958333333333336,2021-01-12 16:22:01.005498
37,APRIL,Da Capo,11.602,0.07,-11.958333333333336,2021-01-12 16:22:01.005498
38,Apink,LOOK,8.726,0.06,-11.958333333333336,2021-01-12 16:22:01.005498
39,PENTAGON,WE:TH,7.662000000000001,0.05,-11.958333333333336,2021-01-12 16:22:01.005498
40,DAY6,The Book of Us : The Demon,5.362,0.03,-11.958333333333336,2021-01-12 16:22:01.005498
41,IU,에잇,3.897,0.03,-11.958333333333336,2021-01-12 16:22:01.005498
42,TAEYEON,Happy,2.65,0.02,-11.958333333333336,2021-01-12 16:22:01.005498
43,CHUNG HA,PLAY,1.36,0.01,-11.958333333333336,2021-01-12 16:22:01.005498
44,ZICO,아무노래,0.933,0.01,-11.958333333333336,2021-01-12 16:22:01.005498
45,Paul Kim,"마음, 둘",0.6679999999999999,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
46,SUNMI,보라빛 밤 (pporappippam),0.257,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.213,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
48,Jessi,NUNA,0.201,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
50,PARK JIN YOUNG,When We Disco,0.043,0.0,-11.958333333333336,2021-01-12 16:22:01.005498
1,KANG DANIEL,MAGENTA,1390.527,8.95,-11.916666666666664,2021-01-12 17:50:02.012657
2,Stray Kids,GO生,1174.688,7.56,-11.916666666666664,2021-01-12 17:50:02.012657
3,NCT 127,NCT #127 Neo Zone,1069.233,6.88,-11.916666666666664,2021-01-12 17:50:02.012657
4,HA SUNG WOON,Twilight Zone,966.97,6.23,-11.916666666666664,2021-01-12 17:50:02.012657
5,ATEEZ,ZERO : FEVER Part.1,937.659,6.04,-11.916666666666664,2021-01-12 17:50:02.012657
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,916.1030000000001,5.9,-11.916666666666664,2021-01-12 17:50:02.012657
7,NCT DREAM,RELOAD,852.6519999999997,5.49,-11.916666666666664,2021-01-12 17:50:02.012657
8,DREAMCATCHER,Dystopia : The Tree of Language,739.936,4.76,-11.916666666666664,2021-01-12 17:50:02.012657
9,MONSTA X,FANTASIA X,661.6060000000001,4.26,-11.916666666666664,2021-01-12 17:50:02.012657
10,SUPER JUNIOR-D&E,BAD BLOOD,644.893,4.15,-11.916666666666664,2021-01-12 17:50:02.012657
11,GOT7,DYE,644.883,4.15,-11.916666666666664,2021-01-12 17:50:02.012657
12,BLACKPINK,How You Like That,607.729,3.91,-11.916666666666664,2021-01-12 17:50:02.012657
13,TWICE,MORE & MORE,600.242,3.86,-11.916666666666664,2021-01-12 17:50:02.012657
14,SEVENTEEN,헹가래,598.607,3.85,-11.916666666666664,2021-01-12 17:50:02.012657
15,BTS,MAP OF THE SOUL : 7,514.56,3.31,-11.916666666666664,2021-01-12 17:50:02.012657
16,BAEKHYUN,Delight,388.86699999999996,2.5,-11.916666666666664,2021-01-12 17:50:02.012657
17,NU'EST,The Nocturne,361.189,2.33,-11.916666666666664,2021-01-12 17:50:02.012657
18,GFRIEND,回:LABYRINTH,359.30300000000005,2.31,-11.916666666666664,2021-01-12 17:50:02.012657
19,VICTON,Mayday,318.525,2.05,-11.916666666666664,2021-01-12 17:50:02.012657
20,SF9,9loryUS,318.1790000000001,2.05,-11.916666666666664,2021-01-12 17:50:02.012657
21,AB6IX,VIVID,277.735,1.79,-11.916666666666664,2021-01-12 17:50:02.012657
22,ASTRO,GATEWAY,214.766,1.38,-11.916666666666664,2021-01-12 17:50:02.012657
23,IZ*ONE,BLOOM*IZ,190.34099999999998,1.23,-11.916666666666664,2021-01-12 17:50:02.012657
24,MAMAMOO,딩가딩가 (Dingga),131.493,0.85,-11.916666666666664,2021-01-12 17:50:02.012657
25,PARK JI HOON,The W,128.127,0.82,-11.916666666666664,2021-01-12 17:50:02.012657
26,TAEMIN,Never Gonna Dance Again : Act 1,93.02,0.6,-11.916666666666664,2021-01-12 17:50:02.012657
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),69.30199999999999,0.45,-11.916666666666664,2021-01-12 17:50:02.012657
28,Hwa Sa,María,57.081,0.37,-11.916666666666664,2021-01-12 17:50:02.012657
29,THE BOYZ,CHASE,50.352,0.32,-11.916666666666664,2021-01-12 17:50:02.012657
30,NCT,NCT RESONANCE Part 1,50.055,0.32,-11.916666666666664,2021-01-12 17:50:02.012657
31,CIX,"Hello, Strange Time",35.232,0.23,-11.916666666666664,2021-01-12 17:50:02.012657
32,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),34.018,0.22,-11.916666666666664,2021-01-12 17:50:02.012657
33,LOONA,[#],30.906,0.2,-11.916666666666664,2021-01-12 17:50:02.012657
34,OH MY GIRL,NONSTOP,30.334,0.2,-11.916666666666664,2021-01-12 17:50:02.012657
35,ITZY,IT'z ME,16.794,0.11,-11.916666666666664,2021-01-12 17:50:02.012657
36,EXO,EXO PLANET #5 –EXplOration– Live Album,13.017000000000001,0.08,-11.916666666666664,2021-01-12 17:50:02.012657
37,APRIL,Da Capo,11.612,0.07,-11.916666666666664,2021-01-12 17:50:02.012657
38,Apink,LOOK,8.726,0.06,-11.916666666666664,2021-01-12 17:50:02.012657
39,PENTAGON,WE:TH,7.672999999999999,0.05,-11.916666666666664,2021-01-12 17:50:02.012657
40,DAY6,The Book of Us : The Demon,5.362,0.03,-11.916666666666664,2021-01-12 17:50:02.012657
41,IU,에잇,3.9,0.03,-11.916666666666664,2021-01-12 17:50:02.012657
42,TAEYEON,Happy,2.653,0.02,-11.916666666666664,2021-01-12 17:50:02.012657
43,CHUNG HA,PLAY,1.361,0.01,-11.916666666666664,2021-01-12 17:50:02.012657
44,ZICO,아무노래,0.9329999999999999,0.01,-11.916666666666664,2021-01-12 17:50:02.012657
45,Paul Kim,"마음, 둘",0.6679999999999999,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
46,SUNMI,보라빛 밤 (pporappippam),0.257,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.213,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
48,Jessi,NUNA,0.201,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
50,PARK JIN YOUNG,When We Disco,0.043,0.0,-11.916666666666664,2021-01-12 17:50:02.012657
1,KANG DANIEL,MAGENTA,1391.656,8.94,-11.833333333333336,2021-01-12 19:23:38.315037
2,Stray Kids,GO生,1180.531,7.59,-11.833333333333336,2021-01-12 19:23:38.315037
3,NCT 127,NCT #127 Neo Zone,1070.092,6.88,-11.833333333333336,2021-01-12 19:23:38.315037
4,HA SUNG WOON,Twilight Zone,967.145,6.21,-11.833333333333336,2021-01-12 19:23:38.315037
5,ATEEZ,ZERO : FEVER Part.1,944.731,6.07,-11.833333333333336,2021-01-12 19:23:38.315037
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,918.556,5.9,-11.833333333333336,2021-01-12 19:23:38.315037
7,NCT DREAM,RELOAD,853.0360000000003,5.48,-11.833333333333336,2021-01-12 19:23:38.315037
8,DREAMCATCHER,Dystopia : The Tree of Language,740.9630000000003,4.76,-11.833333333333336,2021-01-12 19:23:38.315037
9,MONSTA X,FANTASIA X,663.4730000000002,4.26,-11.833333333333336,2021-01-12 19:23:38.315037
10,GOT7,DYE,647.0980000000002,4.16,-11.833333333333336,2021-01-12 19:23:38.315037
11,SUPER JUNIOR-D&E,BAD BLOOD,646.815,4.16,-11.833333333333336,2021-01-12 19:23:38.315037
12,BLACKPINK,How You Like That,608.561,3.91,-11.833333333333336,2021-01-12 19:23:38.315037
13,TWICE,MORE & MORE,601.465,3.86,-11.833333333333336,2021-01-12 19:23:38.315037
14,SEVENTEEN,헹가래,599.619,3.85,-11.833333333333336,2021-01-12 19:23:38.315037
15,BTS,MAP OF THE SOUL : 7,514.749,3.31,-11.833333333333336,2021-01-12 19:23:38.315037
16,BAEKHYUN,Delight,388.987,2.5,-11.833333333333336,2021-01-12 19:23:38.315037
17,NU'EST,The Nocturne,361.304,2.32,-11.833333333333336,2021-01-12 19:23:38.315037
18,GFRIEND,回:LABYRINTH,359.369,2.31,-11.833333333333336,2021-01-12 19:23:38.315037
19,VICTON,Mayday,318.64,2.05,-11.833333333333336,2021-01-12 19:23:38.315037
20,SF9,9loryUS,318.253,2.05,-11.833333333333336,2021-01-12 19:23:38.315037
21,AB6IX,VIVID,277.888,1.79,-11.833333333333336,2021-01-12 19:23:38.315037
22,ASTRO,GATEWAY,214.903,1.38,-11.833333333333336,2021-01-12 19:23:38.315037
23,IZ*ONE,BLOOM*IZ,190.414,1.22,-11.833333333333336,2021-01-12 19:23:38.315037
24,MAMAMOO,딩가딩가 (Dingga),131.506,0.85,-11.833333333333336,2021-01-12 19:23:38.315037
25,PARK JI HOON,The W,128.127,0.82,-11.833333333333336,2021-01-12 19:23:38.315037
26,TAEMIN,Never Gonna Dance Again : Act 1,93.044,0.6,-11.833333333333336,2021-01-12 19:23:38.315037
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),69.314,0.45,-11.833333333333336,2021-01-12 19:23:38.315037
28,Hwa Sa,María,57.154,0.37,-11.833333333333336,2021-01-12 19:23:38.315037
29,THE BOYZ,CHASE,50.358,0.32,-11.833333333333336,2021-01-12 19:23:38.315037
30,NCT,NCT RESONANCE Part 1,50.076,0.32,-11.833333333333336,2021-01-12 19:23:38.315037
31,CIX,"Hello, Strange Time",35.232,0.23,-11.833333333333336,2021-01-12 19:23:38.315037
32,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),34.028,0.22,-11.833333333333336,2021-01-12 19:23:38.315037
33,LOONA,[#],31.337,0.2,-11.833333333333336,2021-01-12 19:23:38.315037
34,OH MY GIRL,NONSTOP,30.334,0.19,-11.833333333333336,2021-01-12 19:23:38.315037
35,ITZY,IT'z ME,16.802,0.11,-11.833333333333336,2021-01-12 19:23:38.315037
36,EXO,EXO PLANET #5 –EXplOration– Live Album,13.019,0.08,-11.833333333333336,2021-01-12 19:23:38.315037
37,APRIL,Da Capo,11.613,0.07,-11.833333333333336,2021-01-12 19:23:38.315037
38,Apink,LOOK,8.728,0.06,-11.833333333333336,2021-01-12 19:23:38.315037
39,PENTAGON,WE:TH,7.672999999999999,0.05,-11.833333333333336,2021-01-12 19:23:38.315037
40,DAY6,The Book of Us : The Demon,5.362,0.03,-11.833333333333336,2021-01-12 19:23:38.315037
41,IU,에잇,3.9,0.03,-11.833333333333336,2021-01-12 19:23:38.315037
42,TAEYEON,Happy,2.653,0.02,-11.833333333333336,2021-01-12 19:23:38.315037
43,CHUNG HA,PLAY,1.361,0.01,-11.833333333333336,2021-01-12 19:23:38.315037
44,ZICO,아무노래,0.933,0.01,-11.833333333333336,2021-01-12 19:23:38.315037
45,Paul Kim,"마음, 둘",0.6679999999999999,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
46,SUNMI,보라빛 밤 (pporappippam),0.257,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.213,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
48,Jessi,NUNA,0.201,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
50,PARK JIN YOUNG,When We Disco,0.043,0.0,-11.833333333333336,2021-01-12 19:23:38.315037
1,KANG DANIEL,MAGENTA,1391.9879999999994,8.93,-11.791666666666664,2021-01-12 20:41:58.824753
2,Stray Kids,GO生,1185.343,7.61,-11.791666666666664,2021-01-12 20:41:58.824753
3,NCT 127,NCT #127 Neo Zone,1070.402,6.87,-11.791666666666664,2021-01-12 20:41:58.824753
4,HA SUNG WOON,Twilight Zone,967.237,6.21,-11.791666666666664,2021-01-12 20:41:58.824753
5,ATEEZ,ZERO : FEVER Part.1,949.808,6.1,-11.791666666666664,2021-01-12 20:41:58.824753
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,920.2410000000001,5.91,-11.791666666666664,2021-01-12 20:41:58.824753
7,NCT DREAM,RELOAD,853.179,5.48,-11.791666666666664,2021-01-12 20:41:58.824753
8,DREAMCATCHER,Dystopia : The Tree of Language,741.768,4.76,-11.791666666666664,2021-01-12 20:41:58.824753
9,MONSTA X,FANTASIA X,664.7439999999998,4.27,-11.791666666666664,2021-01-12 20:41:58.824753
10,GOT7,DYE,648.067,4.16,-11.791666666666664,2021-01-12 20:41:58.824753
11,SUPER JUNIOR-D&E,BAD BLOOD,647.175,4.15,-11.791666666666664,2021-01-12 20:41:58.824753
12,BLACKPINK,How You Like That,608.99,3.91,-11.791666666666664,2021-01-12 20:41:58.824753
13,TWICE,MORE & MORE,602.178,3.86,-11.791666666666664,2021-01-12 20:41:58.824753
14,SEVENTEEN,헹가래,600.137,3.85,-11.791666666666664,2021-01-12 20:41:58.824753
15,BTS,MAP OF THE SOUL : 7,514.915,3.3,-11.791666666666664,2021-01-12 20:41:58.824753
16,BAEKHYUN,Delight,389.12699999999995,2.5,-11.791666666666664,2021-01-12 20:41:58.824753
